from,to,weight
SWM,Grüne,60000
SWM,Grüne,60000
SWM,Grüne,100000
SWM,Grüne,110000
JA,Grüne,"50239,99"
JW,Grüne,"618956,4"
SWM,Grüne,110000
VBM,Grüne,50000
SWM,Grüne,110000
VBM,Grüne,60000
FH,Grüne,101200
LP,Grüne,90800
JW,Grüne,201190
LP,Grüne,98500
SWM,,110000
VBM,,50001
