Name,ID
Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.,SWM
"Allerheiligen, Jens",JA
"Wermuth, Jochen",JW
VBM Verband der Bayrischen Metall- und Elektroindustrie,VBM
"Hansen, Frank",FH
"Plank, Leo, Dr.",LP
