,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2018","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 60000,00",FDP,2018,München,,,
"Parteispende:WID Unternehmergesellschaft-FDP-2018","WID Unternehmergesellschaft","juristische Person","€ 66000,00",FDP,2018,Fellbach,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2018","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 110000,00",FDP,2018,Stuttgart,,,
"Parteispende:R&W Industriebeteiligungen GmbH-FDP-2018","R&W Industriebeteiligungen","juristische Person","€ 100000,00",FDP,2018,Köln,,,
