,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Verband der Nordwestdeutschen Textil- und Bekleidungsindustrie e.V.-FDP-2012","Verband der Nordwestdeutschen Textil- und Bekleidungsindustrie e.V.","juristische Person","€ 65000,00",FDP,2012,Münster,,,
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2012","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 80000,00",FDP,2012,München,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2012","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 50000,00",FDP,2012,Stuttgart,,,
"Parteispende:BMW Bayerische Motoren Werke AG-FDP-2012","BMW Bayerische Motoren Werke AG","juristische Person","€ 69081,24",FDP,2012,München,,,
