,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2014","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 50000,00",FDP,2014,München,,,
"Parteispende:Trumpf GmbH + Co. KG-FDP-2014","Trumpf GmbH + Co. KG","juristische Person","€ 55000,00",FDP,2014,Ditzingen,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2014","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 80000,00",FDP,2014,Stuttgart,,,
"Parteispende:R&W Industriebeteiligungen GmbH-FDP-2014","R&W Industriebeteiligungen","juristische Person","€ 200000,00",FDP,2014,Köln,,,
"Parteispende:METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.-FDP-2014","METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.","juristische Person","€ 50000,00",FDP,2014,Düsseldorf,,,
"Parteispende:Evonik Industries AG-FDP-2014","Evonik Industries AG","juristische Person","€ 50000,00",FDP,2014,Essen,,,
