,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:WBPR Kommunikation GmbH-FDP-2017","WBPR Kommunikation GmbH","juristische Person","€ 50000,00",FDP,2017,Unterföhring,,,
"Parteispende:VCI Verband der Chemischen Industrie e.V.-FDP-2017","Verband der Chemischen Industrie","juristische Person","€ 139000,00",FDP,2017,"Frankfurt am Main",,,
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2017","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 150000,00",FDP,2017,München,,,
"Parteispende:Trumpf GmbH + Co. KG-FDP-2017","Trumpf GmbH + Co. KG","juristische Person","€ 50000,00",FDP,2017,Ditzingen,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2017","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 110000,00",FDP,2017,Stuttgart,,,
"Parteispende:Sixt GmbH & Co. Autovermietung KG-FDP-2017","Sixt GmbH & Co. Autovermietung KG","juristische Person","€ 55000,00",FDP,2017,"Pullach im Isartal",,,
"Parteispende:R&W Industriebeteiligungen GmbH-FDP-2017","R&W Industriebeteiligungen","juristische Person","€ 206310,00",FDP,2017,Köln,,,
"Parteispende:METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.-FDP-2017","METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.","juristische Person","€ 90000,00",FDP,2017,Düsseldorf,,,
"Parteispende:Huskelapp Vermögensverwaltungs GmbH-FDP-2017","Huskelapp Vermögensverwaltungs GmbH","juristische Person","€ 50000,00",FDP,2017,Wolfenbüttel,,,
"Parteispende:FKH Beteiligungs SE-FDP-2017","FKH Beteiligungs SE","juristische Person","€ 300000,00",FDP,2017,München,,,
"Parteispende:Droege Group AG-FDP-2017","Droege Group AG","juristische Person","€ 100000,00",FDP,2017,Düsseldorf,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2017","Deutsche Vermögensberatung AG DVAG","juristische Person","€ 114000,00",FDP,2017,"Frankfurt am Main",,,
