,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Wohninvest Uni Leipzig GmbH-FDP-2016","Wohninvest Uni Leipzig GmbH","juristische Person","€ 50000,00",FDP,2016,Fellbach,,,
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2016","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 50000,00",FDP,2016,München,,,
"Parteispende:Verband der Nordwestdeutschen Textil- und Bekleidungsindustrie e.V.-FDP-2016","Verband der Nordwestdeutschen Textil- und Bekleidungsindustrie e.V.","juristische Person","€ 50000,00",FDP,2016,Münster,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2016","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 110000,00",FDP,2016,Stuttgart,,,
"Parteispende:R&W Industriebeteiligungen GmbH-FDP-2016","R&W Industriebeteiligungen","juristische Person","€ 200000,00",FDP,2016,Köln,,,
"Parteispende:Huskelapp Vermögensverwaltungs GmbH-FDP-2016","Huskelapp Vermögensverwaltungs GmbH","juristische Person","€ 50000,00",FDP,2016,Wolfenbüttel,,,
