,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Wohninvest GmbH Immobilien-FDP-2015","Wohninvest GmbH Immobilien","juristische Person","€ 50000,00",FDP,2015,Fellbach,,,
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2015","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 50000,00",FDP,2015,München,,,
"Parteispende:Trumpf GmbH + Co. KG-FDP-2015","Trumpf GmbH + Co. KG","juristische Person","€ 50000,00",FDP,2015,Ditzingen,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2015","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 105000,00",FDP,2015,Stuttgart,,,
"Parteispende:Savarpa GmbH-FDP-2015","Savarpa GmbH","juristische Person","€ 50000,00",FDP,2015,Wolfenbüttel,,,
"Parteispende:R&W Industriebeteiligungen GmbH-FDP-2015","R&W Industriebeteiligungen","juristische Person","€ 250000,00",FDP,2015,Köln,,,
"Parteispende:METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.-FDP-2015","METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.","juristische Person","€ 50000,00",FDP,2015,Düsseldorf,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2015","Deutsche Vermögensberatung AG DVAG","juristische Person","€ 75000,00",FDP,2015,"Frankfurt am Main",,,
